Date,Open,High,Low,Close,Adj Close,Volume
3/22/2013,31.065001,31.495001,30.969999,31.424999,28.259287,1042200
3/25/2013,31.584999,31.809999,31.02,31.16,28.020985,1385200
3/26/2013,31.299999,31.74,31.16,31.395,28.232306,1466200
3/27/2013,31.190001,31.745001,31.02,31.645,28.457125,735600
3/28/2013,31.815001,32.275002,31.815001,31.98,28.758381,1245800
4/1/2013,31.875,32.25,31.67,31.799999,28.596508,1364800
4/2/2013,31.485001,31.559999,29.415001,29.629999,26.645111,3937600
4/3/2013,29.735001,30.15,28.629999,28.91,25.997648,2820000
4/4/2013,28.83,29.955,28.76,29.934999,26.91939,1438400
4/5/2013,29.23,29.709999,28.355,29.684999,26.694571,1144800
4/8/2013,29.77,30.129999,29.465,30.105,27.07226,1330000
4/9/2013,30.365,30.42,29.450001,29.525,26.550692,1217200
4/10/2013,29.530001,29.975,29.459999,29.85,26.842949,1566600
4/11/2013,29.815001,30.205,29.559999,29.690001,26.69907,1289000
4/12/2013,29.549999,29.98,29.32,29.57,26.59116,1191200
4/15/2013,29.530001,29.860001,28.174999,28.315001,25.462582,2257400
4/16/2013,29.125,30.674999,28.915001,30.559999,27.481432,3660600
4/17/2013,30.405001,30.43,29.5,29.92,26.905903,2121600
4/18/2013,29.905001,29.969999,29.24,29.355,26.397816,1485400
4/19/2013,29.405001,30.4,29.07,30.174999,27.135212,1615800
4/22/2013,30.174999,30.225,29.32,29.790001,26.788998,1394600
4/23/2013,29.844999,30.844999,29.629999,30.57,27.490421,1728400
4/24/2013,30.525,30.625,30.014999,30.440001,27.373518,1374400
4/25/2013,30.645,31.065001,30.055,30.120001,27.085751,1468600
4/26/2013,30.209999,30.615,29.924999,30.33,27.274595,1352000
4/29/2013,30.34,30.775,30.34,30.58,27.499407,1132000
4/30/2013,30.610001,30.889999,30.290001,30.82,27.715235,1238400
5/1/2013,30.82,30.985001,29.68,29.865,26.856441,1651200
5/2/2013,30.049999,30.424999,29.785,30.35,27.292587,970600
5/3/2013,30.67,31.424999,30.565001,31.365,28.205332,1596800
5/6/2013,31.5,33.240002,31.379999,33.075001,29.743069,3252800
5/7/2013,33.240002,33.830002,33.150002,33.735001,30.33658,2261200
5/8/2013,33.735001,34,33.384998,33.665001,30.273634,1825600
5/9/2013,33.720001,33.900002,32.855,32.915001,29.599184,1206800
5/10/2013,33.080002,33.470001,32.950001,33.075001,29.743069,1238000
5/13/2013,32.610001,33.325001,32.549999,32.959999,29.639652,1720400
5/14/2013,32.915001,33.189999,32.255001,32.735001,29.437321,1816000
5/15/2013,32.59,33.970001,32.575001,32.955002,29.635155,2182200
5/16/2013,32.959999,33.145,31.815001,31.975,28.753887,1819800
5/17/2013,32.075001,32.779999,32.07,32.605,29.320417,1917400
5/20/2013,32.610001,32.904999,29.615,29.865,26.856441,6260400
5/21/2013,29.625,29.85,27.965,29.27,26.321381,5833200
5/22/2013,29.299999,29.875,28.59,28.780001,25.880741,2385800
5/23/2013,28.450001,29.690001,28.355,29.58,26.600147,2783000
5/24/2013,29.129999,29.35,28.610001,29.315001,26.361843,1224800
5/28/2013,29.635,29.705,28,28.094999,25.264744,2817400
5/29/2013,27.934999,28.309999,27.575001,27.975,25.156839,2218400
5/30/2013,27.955,28.43,27.955,28.120001,25.287226,1260000
5/31/2013,28.025,29.135,27.879999,28.41,25.548018,1934200
6/3/2013,28.475,28.834999,27.815001,28.209999,25.368158,2706000
6/4/2013,28.290001,28.92,28.01,28.254999,25.408632,1513000
6/5/2013,28.139999,28.254999,27.35,27.475,24.707207,1430800
6/6/2013,27.424999,27.865,26.73,27.395,24.635263,1635000
6/7/2013,27.700001,28.805,27.52,28.705,25.813295,1729800
6/10/2013,28.700001,29.120001,28.035,28.125,25.291723,1201000
6/11/2013,27.665001,28.365,27.235001,28.135,25.30072,1768600
6/12/2013,28.379999,28.695,28.02,28.200001,25.359167,1210000
6/13/2013,28.200001,28.65,27.950001,28.465,25.597471,996600
6/14/2013,28.465,28.860001,27.865,28.01,25.188311,993400
6/17/2013,28.23,28.360001,27.360001,27.665001,24.878063,990600
